RA;Código_turma;Nome_Disciplina
11201720620;DA1ESEC004-24SB;OFICINAS EM ECONOMIA E HISTÓRIA DO ABC PAULISTA
11201720620;DA1ESTG003-17SB;ECONOMIA DE EMPRESAS
11201720620;DA1ESHC013-21SB;RELAÇÕES COMERCIAIS E DE INVESTIMENTO INTERNACIONAIS
11201720620;NA1ESHR022-21SB;TEORIAS CLÁSSICAS DAS RELAÇÕES INTERNACIONAIS
11201720622;DA1NHT1056-15SA;MICROBIOLOGIA
11201720622;NA1NHT4007-15SA;ESPECTROSCOPIA
11201720622;DA1NHBQ024-22SA;QUIMIOMETRIA
11201720622;DA1NHBB005-23SB;AÇÕES EXTENSIONISTAS EM BOTÂNICA
11201720664;DA1BCK0104-15SA;INTERAÇÕES ATÔMICAS E MOLECULARES
11201720664;NA1ESZI027-17SA;INFORMAÇÃO E SOCIEDADE
11201720672;DA1MCBD003-23SA;METODOLOGIA DE PESQUISA EM CIÊNCIA DE DADOS
11201720674;NA1NHZ6011-18SA;BIOTECNOLOGIA HUMANA
11201720674;NA1ESZU025-17SA;EDUCAÇÃO AMBIENTAL
11201720674;NA1ESZU029-17SA;HISTÓRIA DA CIDADE E DO URBANISMO
11201720674;NA1ESTU023-17SA;BIOMAS BRASILEIROS
11201720730;NA1ESZS015-17SB;PROJETO DE ELEMENTOS ESTRUTURAIS DE AERONAVES II
11201720730;NA1ESZS002-17SB;AERONÁUTICA II
11201720730;NA1ESTS001-17SB;DINÂMICA I
11201720730;NA1ESTS015-17SB;COMBUSTÃO I
11201720730;NA1ESTS012-17SB;AEROELASTICIDADE
11201720756;NB2BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS
11201720756;NA1BIK0102-15SA;ESTRUTURA DA MATÉRIA
11201720756;NB1BIR0603-15SA;CIÊNCIA, TECNOLOGIA E SOCIEDADE
11201720756;NA1BIL0304-15SA;EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA
11201720756;NA1ESAU016-25SA;GESTÃO DE GASES DE EFEITO ESTUFA
11201720770;DA1ESZG041-17SB;GESTÃO DA INOVAÇÃO
11201720776;NA1NHBP001-23SA;FÍSICA EXPERIMENTAL I
11201720786;NA1MCTC011-15SB;PSICOLOGIA COGNITIVA
11201720786;NA1MCTC002-15SB;INTRODUÇÃO À NEUROCIÊNCIA
