Código da matéria;Nome da completo matéria;Campus;Horários;Docente teoria;Docente pratica;Arquivo_Origem
NA1ESZM038-17SA;ENGENHARIA DE CERÂMICAS;SA;"Teoria: terça das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal";HUMBERTO NAOYUKI YOSHIMURA;HUMBERTO NAOYUKI YOSHIMURA;Resultados da classificação_.pdf
NA1ESZM024-17SA;ENGENHARIA DE METAIS;SA;"Teoria: terça das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, quinzenal I | Prática: quinta das 21:00 às 23:00, quinzenal II";SYDNEY FERREIRA SANTOS;SYDNEY FERREIRA SANTOS;Resultados da classificação_.pdf
NA1ESTO013-17SA;ENGENHARIA ECONÔMICA;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal";THADEU ALFREDO FARIAS SILVA;-;Resultados da classificação_.pdf
NB1ESTO013-17SA;ENGENHARIA ECONÔMICA;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quarta das 21:00 às 23:00, semanal";JORGE TOMIOKA;-;Resultados da classificação_.pdf
NC1ESTO013-17SA;ENGENHARIA ECONÔMICA;SA;"Teoria: terça das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal";PAULO HENRIQUE DE MELLO SANT ANA;-;Resultados da classificação_.pdf
NA1ESTE035-17SA;ENGENHARIA EÓLICA;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal";JOAO VICENTE AKWA, ADEMIR PELIZARI;-;Resultados da classificação_.pdf
NA1ESTE028-17SA;ENGENHARIA NUCLEAR;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quarta das 21:00 às 23:00, semanal";PEDRO HENRIQUE SILVA RODRIGUES;-;Resultados da classificação_.pdf
NA1ESZA018-17SA;ENGENHARIA ÓPTICA E IMAGENS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quarta das 21:00 às 23:00, quinzenal I | Prática: quarta das 21:00 às 23:00, quinzenal II";AGNALDO APARECIDO FRESCHI, FULVIO ANDRES CALLEGARI;AGNALDO APARECIDO FRESCHI, FULVIO ANDRES CALLEGARI;Resultados da classificação_.pdf
NA1MCTB011-17SA;EQUAÇÕES DIFERENCIAIS ORDINÁRIAS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal";ALFREDO MANUEL JARA GRADOS;-;Resultados da classificação_.pdf
NA1NHT4007-15SA;ESPECTROSCOPIA;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quarta das 19:00 às 21:00, semanal | Prática: quarta das 21:00 às 23:00, semanal";GUSTAVO MORARI DO NASCIMENTO;GUSTAVO MORARI DO NASCIMENTO;Resultados da classificação_.pdf
NA1BIK0102-15SA;ESTRUTURA DA MATÉRIA;SA;"Teoria: terça das 19:00 às 21:00, semanal; sexta das 21:00 às 23:00, quinzenal I";JOSE CARLOS RODRIGUES SILVA;-;Resultados da classificação_.pdf
NA1BIQ0602-15SA;ESTRUTURA E DINÂMICA SOCIAL;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quarta das 21:00 às 23:00, quinzenal II";ROBERTO RESENDE SIMIQUELI;-;Resultados da classificação_.pdf
NB1BIQ0602-15SA;ESTRUTURA E DINÂMICA SOCIAL;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quarta das 19:00 às 21:00, quinzenal II";ROBERTO RESENDE SIMIQUELI;-;Resultados da classificação_.pdf
NA1MCZB035-17SA;EVOLUÇÃO DOS CONCEITOS MATEMÁTICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal";VIRGINIA CARDIA CARDOSO;-;Resultados da classificação_.pdf
NA1NHT1068-15SA;EVOLUÇÃO E DIVERSIDADE DE PLANTAS II;SA;Teoria: sexta das 21:00 às 23:00, semanal | Prática: terça das 19:00 às 23:00, semanal;EDLLEY MAX PESSOA DA SILVA;EDLLEY MAX PESSOA DA SILVA;Resultados da classificação_.pdf
