Código da matéria;Nome da completo matéria;Campus;Horários;Docente teoria;Docente pratica;Arquivo_Origem
DE1ESZR007-21SB;A QUESTÃO NUCLEAR NAS RELAÇÕES INTERNACIONAIS;SB;"Prática: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";ELIAS DAVID MORALES MARTINEZ;-;Resultados da classificação__.pdf
DA1ESZS019-17SB;AERODINÂMICA II;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";KARL PETER BURR;-;Resultados da classificação__.pdf
DA1NHLH001-24SB;ANTIGUIDADES E USOS DO PASSADO;SB;"Teoria: terça das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";JULIANA CALDEIRA MONZANI;-;Resultados da classificação__.pdf
DA1ESTB029-17SB;ANÁLISE E CONTROLE DE SISTEMAS MECÂNICOS;SB;Teoria: terça das 10:00 às 12:00, semanal | Prática: sexta das 08:00 às 10:00, semanal;DANIEL BOARI COELHO;DANIEL BOARI COELHO;Resultados da classificação__.pdf
DA1ESZS016-17SB;ANÁLISE EXPERIMENTAL DE ESTRUTURAS;SB;"Prática: segunda das 14:00 às 16:00, semanal; quarta das 14:00 às 16:00, semanal";RICARDO GASPAR;RICARDO GASPAR;Resultados da classificação__.pdf
DA1ESZS012-17SB;APLICAÇÕES DE ELEMENTOS FINITOS PARA ENGENHARIA;SB;"Teoria: sexta das 08:00 às 10:00, quinzenal I; terça das 10:00 às 12:00, semanal | Prática: sexta das 08:00 às 10:00, quinzenal II";ANDRE SCHWANZ DE LIMA;ANDRE SCHWANZ DE LIMA;Resultados da classificação__.pdf
DI1MCZA002-17SB;APRENDIZADO DE MÁQUINA;SB;"Teoria: terça das 14:00 às 16:00, semanal; sexta das 14:00 às 16:00, semanal";AMANDA YUMI AMBRIOLA OKU;-;Resultados da classificação__.pdf
DA1ESHT001-17SB;ARRANJOS INSTITUCIONAIS E MARCO REGULATÓRIO DO TERRITÓRIO;SB;Teoria: segunda das 08:00 às 10:00, semanal;MARIANA MENZIO;-;Resultados da classificação__.pdf
DA1ESHR018-21SB;ATORES NÃO ESTATAIS E AS RELAÇÕES INTERNACIONAIS;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";BARBARA ILZE SEMENSATO;-;Resultados da classificação__.pdf
DA1ESZG028-17SB;AUTOMAÇÃO EM SISTEMAS DE MANUFATURA;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";THADEU ALFREDO FARIAS SILVA;THADEU ALFREDO FARIAS SILVA;Resultados da classificação__.pdf
DA1ESHP031-22SB;AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";ROBERTA GUIMARAES PERES;ROBERTA GUIMARAES PERES;Resultados da classificação__.pdf
DA1NHBB005-23SB;AÇÕES EXTENSIONISTAS EM BOTÂNICA;SB;Teoria: quinta das 14:00 às 16:00, semanal;NATALIA PIRANI GHILARDI LOPES, ANSELMO NOGUEIRA;ANSELMO NOGUEIRA, NATALIA PIRANI GHILARDI LOPES;Resultados da classificação__.pdf
DA1BIS0005-15SB;BASES COMPUTACIONAIS DA CIÊNCIA;SB;Prática: segunda das 14:00 às 16:00, semanal;-;DAVID CORREA MARTINS JUNIOR;Resultados da classificação__.pdf
DA1BIR0004-15SB;BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, quinzenal II";VICTOR XIMENES MARQUES;-;Resultados da classificação__.pdf
DB1BIR0004-15SB;BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quarta das 08:00 às 10:00, quinzenal II";VICTOR XIMENES MARQUES;-;Resultados da classificação__.pdf
DA1BIS0003-15SB;BASES MATEMÁTICAS;SB;"Teoria: terça das 14:00 às 16:00, semanal; quinta das 16:00 às 18:00, semanal";IOANNIS PAPAGEORGIOU;-;Resultados da classificação__.pdf
DA1BCL0306-15SB;BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE;SB;"Teoria: terça das 08:00 às 10:00, quinzenal I; quinta das 10:00 às 12:00, semanal";NATALIA PIRANI GHILARDI LOPES;-;Resultados da classificação__.pdf
DA2BCL0306-15SB;BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE;SB;"Teoria: terça das 08:00 às 10:00, quinzenal I; quinta das 10:00 às 12:00, semanal";BRUNA HELENA DE CAMPOS;-;Resultados da classificação__.pdf
DB1BCL0306-15SB;BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE;SB;"Teoria: terça das 10:00 às 12:00, quinzenal I; quinta das 08:00 às 10:00, semanal";BRUNA HELENA DE CAMPOS;-;Resultados da classificação__.pdf
DB2BCL0306-15SB;BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE;SB;"Teoria: terça das 10:00 às 12:00, quinzenal I; quinta das 08:00 às 10:00, semanal";NATALIA PIRANI GHILARDI LOPES;-;Resultados da classificação__.pdf
DA1ESBM001-23SB;BIOMECÂNICA I;SB;"Prática: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";-;DANIEL BOARI COELHO;Resultados da classificação__.pdf
DA1NHT4002-13SB;BIOQUÍMICA EXPERIMENTAL;SB;Teoria: terça das 14:00 às 16:00, semanal | Prática: quinta das 14:00 às 18:00, semanal;SERGIO DAISHI SASAKI;SERGIO DAISHI SASAKI;Resultados da classificação__.pdf
DA1BCL0308-15SB;BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS;SB;"Teoria: segunda das 10:00 às 12:00, quinzenal I; sexta das 10:00 às 12:00, semanal | Prática: quarta das 08:00 às 10:00, semanal";LUIZ ROBERTO NUNES;DALMO MANDELLI;Resultados da classificação__.pdf
DA2BCL0308-15SB;BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS;SB;"Teoria: segunda das 10:00 às 12:00, quinzenal I; sexta das 10:00 às 12:00, semanal | Prática: quarta das 08:00 às 10:00, semanal";LUIZ ROBERTO NUNES;FERNANDO CARLOS GIACOMELLI;Resultados da classificação__.pdf
DA3BCL0308-15SB;BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS;SB;"Teoria: segunda das 10:00 às 12:00, quinzenal I; sexta das 10:00 às 12:00, semanal | Prática: quarta das 08:00 às 10:00, semanal";LUIZ ROBERTO NUNES;DANILO DA CRUZ CENTENO;Resultados da classificação__.pdf
DB1BCL0308-15SB;BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS;SB;"Teoria: segunda das 08:00 às 10:00, quinzenal I; sexta das 08:00 às 10:00, semanal | Prática: quarta das 10:00 às 12:00, semanal";FERNANDO HEERING BARTOLONI;DANILO DA CRUZ CENTENO;Resultados da classificação__.pdf
DA1LHZ0005-19SB;BRASIL INDEPENDENTE;SB;"Teoria: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";JONATAS ROQUE RIBEIRO;-;Resultados da classificação__.pdf
DA1NHLH002-24SB;BRASIL REPUBLICANO: DA TRANSIÇÃO MONARQUIA-REPÚBLICA AO ESTADO NOVO;SB;Teoria: quarta das 08:00 às 10:00, semanal;MARIA CLARA SPADA DE CASTRO;-;Resultados da classificação__.pdf
DA1ESHP004-13SB;CIDADANIA, DIREITOS E DESIGUALDADES;SB;"Teoria: terça das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";WILSON MESQUITA DE ALMEIDA;-;Resultados da classificação__.pdf
DA1ESTA002-17SB;CIRCUITOS ELÉTRICOS I;SB;"Teoria: segunda das 08:00 às 10:00, quinzenal I; quarta das 10:00 às 13:00, semanal | Prática: segunda das 08:00 às 10:00, quinzenal II";DIOGO COUTINHO SORIANO;DIOGO COUTINHO SORIANO;Resultados da classificação__.pdf
DA2ESTA002-17SB;CIRCUITOS ELÉTRICOS I;SB;"Teoria: segunda das 08:00 às 10:00, quinzenal I; quarta das 10:00 às 13:00, semanal | Prática: segunda das 08:00 às 10:00, quinzenal II";DIOGO COUTINHO SORIANO;JOAO LOURES SALINET JUNIOR;Resultados da classificação__.pdf
DA1BIR0603-15SB;CIÊNCIA, TECNOLOGIA E SOCIEDADE;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, quinzenal II";CLAUDIO LUIS DE CAMARGO PENTEADO;-;Resultados da classificação__.pdf
DA2BIR0603-15SB;CIÊNCIA, TECNOLOGIA E SOCIEDADE;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, quinzenal II";LUCIANO AVALLONE BUENO;-;Resultados da classificação__.pdf
DB1BIR0603-15SB;CIÊNCIA, TECNOLOGIA E SOCIEDADE;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quarta das 08:00 às 10:00, quinzenal II";CLAUDIO LUIS DE CAMARGO PENTEADO;-;Resultados da classificação__.pdf
DB2BIR0603-15SB;CIÊNCIA, TECNOLOGIA E SOCIEDADE;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quarta das 08:00 às 10:00, quinzenal II";LUCIANO AVALLONE BUENO;-;Resultados da classificação__.pdf
DA1ESTS015-17SB;COMBUSTÃO I;SB;"Teoria: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";LORETO PIZZUTI;LORETO PIZZUTI;Resultados da classificação__.pdf
DA1ESBM003-23SB;COMPUTAÇÃO CIENTÍFICA APLICADA A PROBLEMAS BIOLÓGICOS;SB;"Prática: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";-;DANIEL BOARI COELHO;Resultados da classificação__.pdf
DA1MCTC007-20SB;COMUNICAÇÃO CIENTÍFICA;SB;Teoria: quinta das 08:00 às 10:00, semanal;CRISTIANE OTERO REIS SALUM;-;Resultados da classificação__.pdf
DA1ESHC002-17SB;CONTABILIDADE BÁSICA;SB;"Teoria: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";RICARDO BUSCARIOLLI PEREIRA;-;Resultados da classificação__.pdf
DA1ESHP022-14SB;CULTURA POLÍTICA;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";SERGIO AMADEU DA SILVEIRA;-;Resultados da classificação__.pdf
DA1ESTG001-17SB;CUSTOS;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 08:00 às 12:00, semanal";EVANDIR MEGLIORINI;EVANDIR MEGLIORINI;Resultados da classificação__.pdf
DA1MCTB009-17SB;CÁLCULO NUMÉRICO;SB;"Teoria: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";CICERO RIBEIRO DE LIMA;-;Resultados da classificação__.pdf
DA1ESHT003-17SB;DEMOGRAFIA;SB;"Teoria: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";LEONARDO FREIRE DE MELLO;-;Resultados da classificação__.pdf
DA1ESAE002-23SB;DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA;SB;Teoria: quarta das 10:00 às 12:00, semanal;OLAVO LUPPI SILVA;-;Resultados da classificação__.pdf
DB1ESTG002-17SB;DESENVOLVIMENTO INTEGRADO DO PRODUTO;SB;Teoria: terça das 08:00 às 12:00, semanal;FERNANDO GASI;FERNANDO GASI;Resultados da classificação__.pdf
DA1ESHC003-17SB;DESENVOLVIMENTO SOCIOECONÔMICO;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";VITOR EDUARDO SCHINCARIOL;-;Resultados da classificação__.pdf
DB1ESHC003-17SB;DESENVOLVIMENTO SOCIOECONÔMICO;SB;"Teoria: quarta das 17:00 às 19:00, semanal; sexta das 17:00 às 19:00, semanal";LEONARDO DIAS NUNES;-;Resultados da classificação__.pdf
DA1ESTS005-17SB;DINÂMICA E CONTROLE DE VEÍCULOS ESPACIAIS;SB;"Teoria: terça das 16:00 às 18:00, semanal; quinta das 16:00 às 18:00, semanal";CLAUDIA CELESTE CELESTINO DE PAULA SANTOS;-;Resultados da classificação__.pdf
DA1ESTS001-17SB;DINÂMICA I;SB;"Teoria: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";CARLOS RENATO HUAURA SOLORZANO;-;Resultados da classificação__.pdf
DA1ESHP013-22SB;DIREITO CONSTITUCIONAL;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";GISELE MASCARELLI SALGADO;-;Resultados da classificação__.pdf
DA1NHZ2116-18SB;DISCUSSÕES ATUAIS EM FILOSOFIA DA CIÊNCIA;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";PEDRO BRAVO DE SOUZA;-;Resultados da classificação__.pdf
DA1ESHC035-21SB;ECONOMETRIA I;SB;"Prática: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal";ANA CLAUDIA POLATO E FAVA;ANA CLAUDIA POLATO E FAVA;Resultados da classificação__.pdf
DA1ESHC037-21SB;ECONOMETRIA III;SB;"Prática: segunda das 17:00 às 19:00, semanal; quinta das 17:00 às 19:00, semanal";THIAGO FONSECA MORELLO RAMALHO DA SILVA;THIAGO FONSECA MORELLO RAMALHO DA SILVA;Resultados da classificação__.pdf
DA1ESHC007-21SB;ECONOMIA BRASILEIRA I;SB;"Teoria: sexta das 10:00 às 12:00, semanal; quarta das 08:00 às 10:00, semanal";MARCELO MILAN;-;Resultados da classificação__.pdf
DA1ESTG003-17SB;ECONOMIA DE EMPRESAS;SB;Teoria: quarta das 10:00 às 12:00, semanal;OSMAR DOMINGUES;-;Resultados da classificação__.pdf
DA1ESHC034-21SB;ECONOMIA DO MEIO AMBIENTE;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal";MONICA YUKIE KUWAHARA;-;Resultados da classificação__.pdf
DA1ESHT005-17SB;ECONOMIA DO TERRITÓRIO;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";MARCOS BARCELLOS DE SOUZA;-;Resultados da classificação__.pdf
DA1ESHR003-21SB;ECONOMIA POLÍTICA INTERNACIONAL DA SEGURANÇA ALIMENTAR;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";ANDREA SANTOS BACA;-;Resultados da classificação__.pdf
DA1ESGE001-23SB;ENGENHARIA DE SEGURANÇA DO TRABALHO;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal";GISELLE RAMIREZ CANEDO;-;Resultados da classificação__.pdf
DA1LHZ0011-19SB;ENSINO INTERDISCIPLINAR DE HISTÓRIA;SB;Teoria: quinta das 14:00 às 18:00, semanal;WEBER LOPES GOES;-;Resultados da classificação__.pdf
DA1BHO0101-15SB;ESTADO E RELAÇÕES DE PODER;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal";VANESSA ELIAS DE OLIVEIRA;-;Resultados da classificação__.pdf
DB1BHO0101-15SB;ESTADO E RELAÇÕES DE PODER;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";VANESSA ELIAS DE OLIVEIRA;-;Resultados da classificação__.pdf
DA1BIK0102-15SB;ESTRUTURA DA MATÉRIA;SB;"Teoria: terça das 14:00 às 16:00, semanal; sexta das 16:00 às 18:00, quinzenal I";EVER ALDO ARROYO MONTERO;-;Resultados da classificação__.pdf
DA1BIQ0602-15SB;ESTRUTURA E DINÂMICA SOCIAL;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, quinzenal II";SIDNEY JARD DA SILVA;-;Resultados da classificação__.pdf
DA1ESHT007-17SB;ESTUDOS DO MEIO FÍSICO;SB;"Teoria: terça das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";CHRISTIAN RICARDO RIBEIRO;-;Resultados da classificação__.pdf
DA1ESHR030-21SB;ESTUDOS ESTRATÉGICOS E DEFESA;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";FLAVIO ROCHA DE OLIVEIRA;-;Resultados da classificação__.pdf
DA1BIL0304-15SB;EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA;SB;"Teoria: terça das 16:00 às 18:00, semanal; sexta das 14:00 às 16:00, quinzenal I";RUBI VARGAS PEGAS;-;Resultados da classificação__.pdf
DA1NHH2012-13SB;FENOMENOLOGIA E FILOSOFIA HERMENÊUTICA;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";JOSE LUIZ BASTOS NEVES;-;Resultados da classificação__.pdf
DA1ESTO016-17SB;FENÔMENOS DE TRANSPORTE;SB;"Teoria: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";WAGNER SHIN NISHITANI;-;Resultados da classificação__.pdf
DA1BCJ0203-15SB;FENÔMENOS ELETROMAGNÉTICOS;SB;"Teoria: segunda das 16:00 às 18:00, semanal; quinta das 14:00 às 16:00, semanal | Prática: quinta das 16:00 às 18:00, quinzenal I";DUIVE MARIA VAN EGMOND;REGINA KEIKO MURAKAMI;Resultados da classificação__.pdf
DA1BCJ0204-15SB;FENÔMENOS MECÂNICOS;SB;"Teoria: quinta das 08:00 às 10:00, semanal; segunda das 10:00 às 12:00, semanal | Prática: segunda das 08:00 às 10:00, quinzenal I";EVER ALDO ARROYO MONTERO;EVER ALDO ARROYO MONTERO;Resultados da classificação__.pdf
DA2BCJ0204-15SB;FENÔMENOS MECÂNICOS;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal | Prática: segunda das 08:00 às 10:00, quinzenal II";EVER ALDO ARROYO MONTERO;EVER ALDO ARROYO MONTERO;Resultados da classificação__.pdf
DA3BCJ0204-15SB;FENÔMENOS MECÂNICOS;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal | Prática: segunda das 08:00 às 10:00, quinzenal I";EVER ALDO ARROYO MONTERO;REGINA KEIKO MURAKAMI;Resultados da classificação__.pdf
DA4BCJ0204-15SB;FENÔMENOS MECÂNICOS;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal | Prática: segunda das 08:00 às 10:00, quinzenal II";VALERY SHCHESNOVICH;REGINA KEIKO MURAKAMI;Resultados da classificação__.pdf
DA5BCJ0204-15SB;FENÔMENOS MECÂNICOS;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal | Prática: segunda das 08:00 às 10:00, quinzenal I";VALERY SHCHESNOVICH;JOSE JAVIER SAEZ ACUNA;Resultados da classificação__.pdf
DB1BCJ0204-15SB;FENÔMENOS MECÂNICOS;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal | Prática: segunda das 10:00 às 12:00, quinzenal I";VALERY SHCHESNOVICH;REGINA KEIKO MURAKAMI;Resultados da classificação__.pdf
DB2BCJ0204-15SB;FENÔMENOS MECÂNICOS;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal | Prática: segunda das 10:00 às 12:00, quinzenal II";VALERY SHCHESNOVICH;DUIVE MARIA VAN EGMOND;Resultados da classificação__.pdf
DA1NHH2085-16SB;FILOSOFIA DA ARTE;SB;"Teoria: terça das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";MARINE DE SOUZA PEREIRA;-;Resultados da classificação__.pdf
DA1NHZ2021-11SB;FILOSOFIA DA MENTE;SB;Teoria: segunda das 14:00 às 18:00, semanal;VICTOR XIMENES MARQUES;-;Resultados da classificação__.pdf
DA1NHH2028-13SB;FILOSOFIA POLÍTICA;SB;"Teoria: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";MIRIAM MESQUITA SAMPAIO DE MADUREIRA;-;Resultados da classificação__.pdf
DA1BHO1335-15SB;FORMAÇÃO DO SISTEMA INTERNACIONAL;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";DIEGO ARAUJO AZZI;-;Resultados da classificação__.pdf
DB1BHO1335-15SB;FORMAÇÃO DO SISTEMA INTERNACIONAL;SB;"Teoria: quarta das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";DIEGO ARAUJO AZZI;-;Resultados da classificação__.pdf
DA1ESHR006-13SB;FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal";IGOR FUSER;-;Resultados da classificação__.pdf
DI1ESHR006-13SB;FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";JANA KAREN SILVERMAN;-;Resultados da classificação__.pdf
DA1ESTO011-17SB;FUNDAMENTOS DE DESENHO TÉCNICO;SB;Teoria: terça das 10:00 às 12:00, semanal;ERIK GUSTAVO DEL CONTE;-;Resultados da classificação__.pdf
DA1ESTB022-17SB;FUNDAMENTOS DE ELETRÔNICA ANALÓGICA E DIGITAL;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, quinzenal I | Prática: quinta das 08:00 às 10:00, quinzenal II";WALTER AMERICO ARELLANO ESPINOZA;WALTER AMERICO ARELLANO ESPINOZA;Resultados da classificação__.pdf
DA1ESBM005-23SB;FUNDAMENTOS DE FISIOPATOLOGIA PARA ENGENHARIAS II;SB;"Teoria: terça das 10:00 às 12:00, quinzenal I; sexta das 08:00 às 10:00, semanal | Prática: terça das 10:00 às 12:00, quinzenal II";PATRICIA APARECIDA DA ANA;ILKA TIEMY KATO PRATES;Resultados da classificação__.pdf
DA1ESAE010-23SB;FUNDAMENTOS DE NAVEGAÇÃO INERCIAL E GNSS;SB;Teoria: quarta das 08:00 às 10:00, semanal;LEANDRO BARONI;-;Resultados da classificação__.pdf
DA1ESBM007-23SB;FUNDAMENTOS DE SINAIS E SISTEMAS DE TEMPO DISCRETO;SB;Teoria: quinta das 08:00 às 10:00, semanal;JOAO LOURES SALINET JUNIOR;-;Resultados da classificação__.pdf
DA1BCN0402-15SB;FUNÇÕES DE UMA VARIÁVEL;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";WELINGTON VIEIRA ASSUNCAO;-;Resultados da classificação__.pdf
DA2BCN0402-15SB;FUNÇÕES DE UMA VARIÁVEL;SB;"Teoria: sexta das 10:00 às 12:00, semanal; quarta das 08:00 às 10:00, semanal";FELIPE TAHA SANT'ANA;-;Resultados da classificação__.pdf
DA3BCN0402-15SB;FUNÇÕES DE UMA VARIÁVEL;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";VINICIUS CIFU LOPES;-;Resultados da classificação__.pdf
DB1BCN0402-15SB;FUNÇÕES DE UMA VARIÁVEL;SB;"Teoria: quarta das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";WELINGTON VIEIRA ASSUNCAO;-;Resultados da classificação__.pdf
DC1BCN0402-15SB;FUNÇÕES DE UMA VARIÁVEL;SB;"Teoria: quarta das 14:00 às 16:00, semanal; sexta das 16:00 às 18:00, semanal";VINICIUS CIFU LOPES;-;Resultados da classificação__.pdf
DA1ESTB030-17SB;FÍSICA MÉDICA II;SB;Teoria: terça das 08:00 às 10:00, semanal;TIAGO RIBEIRO DE OLIVEIRA;-;Resultados da classificação__.pdf
DA1BCK0103-15SB;FÍSICA QUÂNTICA;SB;"Teoria: segunda das 10:00 às 12:00, quinzenal II; quinta das 08:00 às 10:00, semanal";THIAGO BRANQUINHO DE QUEIROZ;-;Resultados da classificação__.pdf
DB1BCK0103-15SB;FÍSICA QUÂNTICA;SB;"Teoria: segunda das 08:00 às 10:00, quinzenal II; quinta das 10:00 às 12:00, semanal";THIAGO BRANQUINHO DE QUEIROZ;-;Resultados da classificação__.pdf
DA1LHZ0017-19SB;GEOGRAFIA URBANA;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";JOSÉ RAIMUNDO SOUSA RIBEIRO JUNIOR;-;Resultados da classificação__.pdf
DA1BCN0404-15SB;GEOMETRIA ANALÍTICA;SB;"Teoria: quarta das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, quinzenal II";NAIL KHUSNUTDINOV;-;Resultados da classificação__.pdf
DA2BCN0404-15SB;GEOMETRIA ANALÍTICA;SB;"Teoria: quarta das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, quinzenal II";ALAN MACIEL DA SILVA;-;Resultados da classificação__.pdf
DB1BCN0404-15SB;GEOMETRIA ANALÍTICA;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, quinzenal II";ALAN MACIEL DA SILVA;-;Resultados da classificação__.pdf
DC1BCN0404-15SB;GEOMETRIA ANALÍTICA;SB;"Teoria: quarta das 16:00 às 18:00, semanal; sexta das 14:00 às 16:00, quinzenal II";NAIL KHUSNUTDINOV;-;Resultados da classificação__.pdf
DA1ESZG041-17SB;GESTÃO DA INOVAÇÃO;SB;Teoria: segunda das 14:30 às 18:30, semanal;LUCELIA BORGES DA COSTA;LUCELIA BORGES DA COSTA;Resultados da classificação__.pdf
DA1ESBM018-25SB;GESTÃO DE TECNOLOGIA HOSPITALAR;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";MARCIA MAYUMI OMI SIMBARA;-;Resultados da classificação__.pdf
DA1LHZ0018-19SB;HISTÓRIA CULTURAL;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quinta das 08:00 às 10:00, semanal";LIDIANE SOARES RODRIGUES;-;Resultados da classificação__.pdf
NB1LHZ0018-19SB;HISTÓRIA CULTURAL;SB;Teoria: sábado das 08:00 às 12:00, semanal;LIDIANE SOARES RODRIGUES;-;Resultados da classificação__.pdf
DA1NHH2032-18SB;HISTÓRIA DA FILOSOFIA ANTIGA HELENÍSTICA;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";0A DEFINIR DOCENTE;-;Resultados da classificação__.pdf
DA1NHH2034-13SB;HISTÓRIA DA FILOSOFIA CONTEMPORÂNEA: O SÉCULO XIX;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";FERNANDO COSTA MATTOS;-;Resultados da classificação__.pdf
DA1NHH2087-16SB;HISTÓRIA DA FILOSOFIA MEDIEVAL: DO SÉCULO XI AO XIV;SB;"Teoria: quinta das 08:00 às 10:00, semanal; segunda das 10:00 às 12:00, semanal";MATTEO RASCHIETTI;-;Resultados da classificação__.pdf
DA1NHH2041-13SB;HISTÓRIA DA FILOSOFIA MODERNA: PERSPECTIVAS RACIONALISTAS;SB;"Teoria: terça das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";LUCIANA ZATERKA;-;Resultados da classificação__.pdf
DA1NHZ2044-11SB;HISTÓRIA DAS CIÊNCIAS NO BRASIL;SB;Teoria: quarta das 14:00 às 18:00, semanal;MARIANA MORAES DE OLIVEIRA SOMBRIO;-;Resultados da classificação__.pdf
