BC&T 2023						BC&T 2015 - 2017						BAC. COMPUTAÇÃO 2017						BAC. COMPUTAÇÃO 2023						BAC. DADOS 2024						ENG. IAR  2023						ENG. INFORMAÇÃO 2023						ENG. AERO 2023						ENG. GESTÃO 2023						ENG. MATERIAIS 2023						ENG. AMBIENTAL 2023						BAC. BIOTEC 2023						ENG. BIOMED 2023						ENG. ENERGIA 2023						BAC. NEUROCIÊNCIA 2023						BAC. FÍSICA 2023						BAC. MATEMÁTICA 2023						BAC. QUÍMICA 2023						BAC. BIOLÓGICAS 2023						BC&H 2020						BAC. ECONOMIA 2023						BAC. RI 2022						BAC. POLÍTICAS PÚBLICAS 2023						BAC, PLAN. TERRITORIAL 2022					
OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	Obrigatórias	Limitadas	Livres	Horas Complementares (Preencher)	Extensionistas (Preencher)	Carga total	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL
		ESTUDOS ETNICO-RACIAIS	36					ANALISE ECONOMICA DE PROJETOS ENERGETICOS	48			PROCESSAMENTO DA INFORMACAO	48	INTERACAO HUMANO-COMPUTADOR	48			CIRCUITOS DIGITAIS	48	LABORATÓRIO DE ENGENHARIA DE SOFTWARE	48			BASES MATEMATICAS	48	PLANEJAMENTO E CONTROLE DE PROJETOS	48			CÁLCULO NUMÉRICO	48	SUPERVISÃO E MONITORAMENTO DE PROCESSOS ENERGÉTICOS	48			MATERIAIS E SUAS PROPRIEDADES	48	INFORMAÇÃO E SOCIEDADE	24			CÁLCULO NUMÉRICO	48	CIRCUITOS HIDRÁULICOS E PNEUMÁTICOS	48			ENGENHARIA ECONOMICA	48	TECNICAS DE TOMADAS DE DECISAO APLICAVEIS EM MODELOS DE INTERDEPENDENCIA	48			FUNDAMENTOS DE DESENHO TÉCNICO	24	MATERIAIS PARA ENERGIA E AMBIENTE	48			ESTRUTURA E DINAMICA SOCIAL	36	CIENCIA DOS MATERIAIS	48			BIOESTATISTICA	48	EVOLUCAO E DIVERSIDADE DE PLANTAS II	72			FUNDAMENTOS DE FISIOPATOLOGIA PARA ENGENHARIAS I	24	CIENCIA DOS MATERIAIS	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	AUTOMAÇÃO DE SISTEMAS ELÉTRICOS DE POTÊNCIA	36			NEUROANATOMIA	48	PROCESSAMENTO DIGITAL DE IMAGENS	48			FÍSICA EXPERIMENTAL II	48	FENÔMENOS DE TRANSPORTE	48			ANÁLISE REAL I	48	CÁLCULO NUMÉRICO	48			FUNDAMENTOS DE REAÇÕES ORGÂNICAS	48	MÉTODOS EXPERIMENTAIS EM ENGENHARIA	48			GENÉTICA I	72	ENGENHARIA DE TECIDOS	60					PRÁTICAS EXTENSIONISTAS EM ECONOMIA	96			ENGENHARIA ECONÔMICA	48	GLOBALIZAÇÃO E OS PROCESSOS DE INTEGRAÇÃO REGIONAL	48			RELAÇÕES INTERNACIONAIS CONTEMPORÂNEAS	48	ECONOMIA DO TERRITÓRIO	48			POLÍTICAS SOCIAIS	48	POLÍTICA EXTERNA BRASILEIRA CONTEMPORÂNEA	48			CARTOGRAFIA E GEOPROCESSAMENTO PARA O PLANEJAMENTO TERRITORIAL	60	MERCADO IMOBILIÁRIO	48		
		INTERPRETACOES DO BRASIL	48					ANALISE NA EDUCACAO BASICA	24			FUNCOES DE UMA VARIAVEL	48	INTERACOES ATOMICAS E MOLECULARES	36			ÁLGEBRA LINEAR	72	LABORATÓRIO DE REDES	48			BASES COMPUTACIONAIS DA CIENCIA	24	FINANCAS, GESTAO E ADMINISTRACAO FINANCEIRA	48			CÁLCULO VETORIAL E TENSORIAL	48	OPTOELETRÔNICA	48			MÉTODOS EXPERIMENTAIS EM ENGENHARIA	48	TV DIGITAL	48			CÁLCULO VETORIAL E TENSORIAL	48	INTRODUÇÃO AO CONTROLE MODERNO	60			ALGEBRA LINEAR	72	PESQUISA OPERACIONAL APLICADA	48			PRINCÍPIOS DE ADMINISTRAÇÃO	24	MATERIAIS PARA TECNOLOGIA DA INFORMAÇÃO	48			CIRCUITOS ELETRICOS E FOTONICA	48	PROPRIEDADES MECANICAS E TERMICAS	48			BIOETICA	24	FISICA MEDICA I	48			ENGENHARIA ECONOMICA	48	PROPRIEDADES MECANICAS E TERMICAS	48			FENÔMENOS MECÂNICOS	60	CENTRAIS TERMOELÉTRICAS	24			BIOÉTICA	24	SISTEMAS DE GERENCIAMENTO DE BANCO DE DADOS	48			MECÂNICA CLÁSSICA I	48	VIBRAÇÕES	48			ÁLGEBRA LINEAR	72	CÁLCULO VETORIAL E TENSORIAL	48			TERMODINÂMICA QUÍMICA	48	MICROBIOLOGIA AMBIENTAL	48			EVOLUÇÃO E DIVERSIDADE DE PLANTAS I	48	LABORATÓRIO DE BIOINFORMÁTICA	48					PRÁTICAS TERRITORIAIS	96			FORMAÇÃO ECONÔMICA DO BRASIL	48	RELAÇÕES INTERNACIONAIS E GLOBALIZAÇÃO	48			TEORIAS CONTEMPORÂNEAS DAS RELAÇÕES INTERNACIONAIS	48	ECONOMIA URBANA	48			REGIMES E FORMAS DE GOVERNO	48	REGIME INTERNACIONAL DOS DIREITOS HUMANOS	48			ECONOMIA URBANA	48	OFICINA DE PROJETO URBANO	48		
		ESTUDOS DE GENERO	36					ANALISE NO RN I	48			GEOMETRIA ANALITICA	36	INTRODUCAO A BIOINFORMATICA	48			ALGORITMOS E ESTRUTURAS DE DADOS II	48	LABORATÓRIO DE SISTEMAS OPERACIONAIS	48			BIODIVERSIDADE: INTERACOES ENTRE ORGANISMOS E AMBIENTE	36	INOVACAO ESTRATEGICA	24			ELETROMAGNETISMO APLICADO	48	ENGENHARIA ÓPTICA E IMAGENS	48			ÁLGEBRA LINEAR	72	REDES WAN DE BANDA LARGA	48			INTRODUÇÃO ÀS ENGENHARIAS	24	AERONÁUTICA I-B	48			CIRCUITOS ELETRICOS E FOTONICA	48	SIMULACAO DE MODELOS DE GESTAO	48			ÁLGEBRA LINEAR	72	ENGENHARIA DE FILMES FINOS	48			MECANICA DOS SOLIDOS I	48	PROPRIEDADES ELETRICAS, MAGNETICAS E OPTICAS	48			BIOLOGIA CELULAR	72	FISICA MEDICA II	24			CALCULO NUMERICO	48	PROPRIEDADES ELETRICAS, MAGNETICAS E OPTICAS	48			BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE	36	INTEGRAÇÃO E OTIMIZAÇÃO ENERGÉTICA DE PROCESSOS	24			NEUROCIÊNCIA TEÓRICA E COMPUTACIONAL	48	SISTEMAS MULTIAGENTES	48			ESTRUTURA E DINÂMICA SOCIAL	36	MÉTODOS COMPUTACIONAIS PARA ANÁLISE ESTRUTURAL	48			TEORIA ARITMÉTICA DOS NÚMEROS	48	INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA	48			CINÉTICA QUÍMICA	36	POLUIÇÃO ATMOSFÉRICA	36			ZOOLOGIA: ORIGEM E DIVERSIFICAÇÃO DE METAZOA	72	INTRODUÇÃO À BIOINFORMÁTICA	48					REFLEXÕES SOBRE ARTE E SOCIEDADE	96			ECONOMIA MATEMÁTICA	48	SISTEMA FINANCEIRO INTERNACIONAL: DE BRETTON WOODS AO NON-SISTEMA	48			HISTÓRIA DO TERCEIRO MUNDO	48	GOVERNANÇA PÚBLICA, DEMOCRACIA E POLÍTICAS NO TERRITÓRIO	48			PODER LEGISLATIVO E PROCESSO DECISÓRIO	48	ANÁLISE DE POLÍTICA EXTERNA	48			DESENVOLVIMENTO ECONÔMICO E SOCIAL NO BRASIL	48	PATRIMÔNIO CULTURAL E PAISAGEM	48		
		TERRITORIO E SOCIEDADE	48					ANALISE QUIMICA INSTRUMENTAL	72			TRANSFORMACOES QUIMICAS	60	INTRODUCAO A CRIPTOGRAFIA	48			MATEMÁTICA DISCRETA II	48	LÓGICAS NÃO CLÁSSICAS	48			NATUREZA DA INFORMACAO	36	PROCESSAMENTO DE INFORMACAO EM LINGUAS NATURAIS	48			PROJETO ASSISTIDO POR COMPUTADOR	24	VISÃO COMPUTACIONAL	48			FUNDAMENTOS DE FOTÔNICA	48	GERENCIAMENTO E INTEROPERABILIDADE DE REDES	48			FUNDAMENTOS DE DESENHO TÉCNICO	24	AERONÁUTICA II	48			INSTRUMENTACAO E CONTROLE	48	PLANEJAMENTO ESTRATEGICO EM GESTAO DE PROJETOS	48			CÁLCULO VETORIAL E TENSORIAL	48	MATERIAIS NANOESTRUTURADOS	48			FENOMENOS DE TRANSPORTE	48	CIRCUITOS ELETRICOS E FOTONICA	48			BIOQUIMICA FUNCIONAL	72	FISIOLOGIA VEGETAL I	72			BIOLOGIA CELULAR	72	CIRCUITOS ELETRICOS E FOTONICA	48			NATUREZA DA INFORMAÇÃO	36	VENTILAÇÃO INDUSTRIAL E AR COMPRIMIDO	24			PSICOLOGIA EXPERIMENTAL	72	VIDA ARTIFICIAL NA COMPUTAÇÃO	24			FÍSICA EXPERIMENTAL III	48	TRANSFERÊNCIA DE CALOR APLICADA A SISTEMAS AEROESPACIAIS	48			ÁLGEBRA LINEAR AVANÇADA	72	APRENDIZADO DE MÁQUINA	48			LIGAÇÕES QUÍMICAS	48	REPRESENTAÇÃO GRÁFICA DE PROJETOS AMBIENTAIS E URBANOS	48			BIOQUÍMICA FUNCIONAL	72	CARACTERIZAÇÃO BIOLÓGICA DE DISPOSITIVOS MÉDICOS	48					TEMAS FILOSÓFICOS EM DEBATE	96			MACROECONOMIA PÓS-KEYNESIANA	48	SOCIEDADE CIVIL ORGANIZADA GLOBAL	48			ESTADO E DESENVOLVIMENTO ECONÔMICO NO BRASIL CONTEMPORÂNEO	48	HISTÓRIA DA CIDADE E DO URBANISMO	48			FEDERALISMO E POLÍTICAS PÚBLICAS	48	ARRANJOS INSTITUCIONAIS E MARCO REGULATÓRIO DO TERRITÓRIO	24			BIODIVERSIDADE, GEODIVERSIDADE E PAISAGEM	36	PLANEJAMENTO E GESTÃO DE REDES TÉCNICAS E SISTEMAS TERRITORIAIS	48		
		DIVERSIDADE DE GENERO E FORMACAO DE PROFESSOR	48					ANALISE REAL I	48			FUNCOES DE VARIAS VARIAVEIS	48	INTRODUCAO A MODELAGEM E PROCESSOS ESTOCASTICOS	48			PROGRAMAÇÃO ORIENTADA A OBJETOS	48	MÉTODOS DE OTIMIZAÇÃO	48			FUNCOES DE UMA VARIAVEL	48	INFORMACAO E SOCIEDADE	24			INTRODUÇÃO ÀS ENGENHARIAS	24	ROBÔS MÓVEIS AUTÔNOMOS	48			MECÂNICA DOS SÓLIDOS I	48	SEGURANÇA DE REDES	48			ENGENHARIA ECONÔMICA	48	INSTRUMENTAÇÃO E SENSORES EM VEÍCULOS AEROESPACIAIS	48			MECANICA DOS SOLIDOS I	48	EMPREENDEDORISMO	48			TERMODINÂMICA DE MATERIAIS	48	NANOCOMPÓSITOS	48			CALCULO NUMERICO	48	INSTRUMENTACAO E CONTROLE	48			MICROBIOLOGIA	72	FISIOLOGIA VEGETAL II	48			MATERIAIS E SUAS PROPRIEDADES	48	INSTRUMENTACAO E CONTROLE	48			FUNÇÕES DE UMA VARIÁVEL	48	TUBULAÇÕES INDUSTRIAIS	24			COMUNICAÇÃO CIENTÍFICA	24	ROBÓTICA E SISTEMAS INTELIGENTES	48			VARIÁVEIS COMPLEXAS E APLICAÇÕES	48	REAÇÕES NUCLEARES	36			ANÁLISE REAL II	48	MÉTODOS DE OTIMIZAÇÃO	48			MÉTODOS DE ANÁLISE EM QUÍMICA ORGÂNICA	48	RESÍDUOS SÓLIDOS	36			HISTOLOGIA E EMBRIOLOGIA	72	MODELOS E FERRAMENTAS DE GESTÃO AMBIENTAL	36					BASES CONCEITUAIS DA ENERGIA	24			INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA	48	SURGIMENTO DA CHINA COMO POTÊNCIA MUNDIAL	48			SEGURANÇA INTERNACIONAL	48	MOBILIZAÇÃO PRODUTIVA DOS TERRITÓRIOS E DESENVOLVIMENTO LOCAL	48			BUROCRACIA E IMPLEMENTAÇÃO DE POLÍTICAS PÚBLICAS	48	CARTOGRAFIA E GEOPROCESSAMENTO PARA O PLANEJAMENTO TERRITORIAL	60			REGULAÇÃO AMBIENTAL E URBANÍSTICA	24	POLÍTICAS DE INFRAESTRUTURA	48		
		PRATICAS EM CIENCIAS E HUMANIDADES	36					ANALISE REAL II	48			COMUNICACAO E REDES	36	INTRODUCAO A NEUROCIENCIA COMPUTACIONAL	48			SISTEMAS DIGITAIS	48	MINERAÇÃO DE DADOS	48			GEOMETRIA ANALITICA	36	INTRODUCAO AO PROCESSAMENTO DE SINAIS DE VOZ E AUDIO	48			MATERIAIS E SUAS PROPRIEDADES	48	INTELIGÊNCIA ARTIFICIAL EM ROBÓTICA	48			FUNDAMENTOS DE DESENHO TÉCNICO	24	PROCESSAMENTO DE VÍDEO	48			TERMODINÂMICA APLICADA I	48	AVIÔNICA	48			PRINCIPIOS DE ADMINISTRACAO	24	PROSPECCAO TECNOLOGICA APLICADA A ENGENHARIA	24			INSTRUMENTAÇÃO E CONTROLE	48	BIOMATERIAIS	48			DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA	24	TERMODINAMICA APLICADA	48			GENETICA I	72	FUNDAMENTOS DE IMUNOLOGIA	48			MECANICA DOS SOLIDOS I	48	TERMODINAMICA APLICADA	48			GEOMETRIA ANALÍTICA	36	PROCESSOS TERMOQUÍMICOS DE CONVERSÃO ENERGÉTICA	24			NEUROBIOLOGIA MOLECULAR E CELULAR	48	ANÁLISE MULTIVARIADA	48			ELETROMAGNETISMO I	48	CIÊNCIAS ATMOSFÉRICAS	48			VARIÁVEIS COMPLEXAS E APLICAÇÕES	48	COMBINATÓRIA EXTREMAL	48			QUÍMICA ANALÍTICA CLÁSSICA I	72	SISTEMAS DE ABASTECIMENTO DE ÁGUAS	36			ZOOLOGIA DE ECDYSOZOA	72	MATERIAIS NANOESTRUTURADOS	48					ESTRUTURA DA MATÉRIA	36			ECONOMIA BRASILEIRA I	48	POLÍTICA EXTERNA BRASILEIRA CONTEMPORÂNEA	48			HISTÓRIA DA POLÍTICA EXTERNA BRASILEIRA	48	POLÍTICA METROPOLITANA	48			PARTICIPAÇÃO, MOVIMENTOS SOCIAIS E POLÍTICAS PÚBLICAS	48	DEMOGRAFIA	48			HISTÓRIA DA CIDADE E DO URBANISMO	48	POLÍTICA HABITACIONAL	48		
		BASES CONCEITUAIS DA ENERGIA	24					ANEIS E CORPOS	48			INTRODUCAO A PROBABILIDADE E A ESTATISTICA	36	INTRODUCAO A PROGRAMACAO DE JOGOS	48			ALGORITMOS EM GRAFOS	48	GESTÃO DE PROJETOS DE SOFTWARE	48			TRANSFORMACOES QUIMICAS	60	FUNDAMENTOS DA COMPUTACAO SEMANTICA	48			MECÂNICA DOS FLUIDOS I	48	INTRODUÇÃO AO CONTROLE MODERNO	60			PRINCÍPIOS DE ADMINISTRAÇÃO	24	PROGRAMAÇÃO DE DISPOSITIVOS MÓVEIS	24			MECÂNICA DOS FLUIDOS I	48	DINÂMICA II	48			FENOMENOS DE TRANSPORTE	48	TRANSFERENCIA DE TECNOLOGIA	48			MÉTODOS EXPERIMENTAIS EM ENGENHARIA	48	RECICLAGEM E AMBIENTE	48			ENGENHARIA ECONOMICA	48	TERMODINAMICA APLICADA I	48			GENETICA II	48	GEOLOGIA E PALEONTOLOGIA	48			METODOS EXPERIMENTAIS EM ENGENHARIA	48	TERMODINAMICA APLICADA I	48			FENÔMENOS TÉRMICOS	48	REAÇÕES NUCLEARES	36			PROJETO DIRIGIDO	24	INTRODUÇÃO À ESTATÍSTICA BAYESIANA	48			BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS	60	EDUCAÇÃO AMBIENTAL	48			APROXIMAÇÃO TEÓRICA E NUMÉRICA I	48	SEMÂNTICA DE LINGUAGEM DE PROGRAMAÇÃO	48			QUÍMICA DOS ELEMENTOS	96	SISTEMAS DE ESGOTAMENTO SANITÁRIO	36			GEOLOGIA E PALEONTOLOGIA	48	BIOMATERIAIS	48					EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36			MACROECONOMIA I	48	HISTÓRIA DO TERCEIRO MUNDO	48			REGIME INTERNACIONAL DOS DIREITOS HUMANOS	48	SOCIOLOGIA DOS TERRITÓRIOS	48			ESTADO E DESENVOLVIMENTO ECONÔMICO NO BRASIL CONTEMPORÂNEO	48	ECONOMIA URBANA	48			ANÁLISE DE DADOS PARA O PLANEJAMENTO TERRITORIAL	48	SANEAMENTO AMBIENTAL	48		
		CIDADANIA, DIREITOS E DESIGUALDADES	48					APRENDIZADO DE MAQUINA	48			BASES EPISTEMOLOGICAS DA CIENCIA MODERNA	36	JOGOS DIGITAIS: ASPECTOS TECNICOS E APLICACOES	48			INTELIGÊNCIA ARTIFICIAL	48	PROCESSAMENTO DE LINGUAGEM NATURAL	48			PROCESSAMENTO DA INFORMACAO	48	INTRODUCAO A LINGUISTICA COMPUTACIONAL	48			MÉTODOS EXPERIMENTAIS EM ENGENHARIA	48	PROJETO DE CONTROLE DISCRETO	36			FENÔMENOS DE TRANSPORTE	48	JOGOS DIGITAIS: ASPECTOS TÉCNICOS E APLICAÇÕES	48			DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA	24	OTIMIZAÇÃO EM PROJETOS DE ESTRUTURAS	48			PESQUISA OPERACIONAL	72	CLIMA E CULTURA ORGANIZACIONAL	24			FUNDAMENTOS DE REAÇÕES ORGÂNICAS	48	DESIGN DE DISPOSITIVOS	48			METODOS EXPERIMENTAIS EM ENGENHARIA	48	MECANICA DOS FLUIDOS I	48			PRINCIPIOS DE FISIOLOGIA PARA BIOTECNOLOGIA	72	GESTAO DA INOVACAO	48			COMPUTACAO CIENTIFICA APLICADA A PROBLEMAS BIOLOGICOS	48	MECANICA DOS FLUIDOS I	48			TRANSFORMAÇÕES QUÍMICAS	60	LABORATÓRIO DE INSTRUMENTAÇÃO NUCLEAR E RADIOPROTEÇÃO	48			BIOESTATÍSTICA	48	INTRODUÇÃO À MODELAGEM E PROCESSOS ESTOCÁSTICOS	48			MECÂNICA QUÂNTICA I	48	ÁLGEBRA LINEAR AVANÇADA	72			GEOMETRIA DOS ESPAÇOS MÉTRICOS	48	TEORIA ESPECTRAL DE GRAFOS	48			MECANISMOS DE REAÇÕES ORGÂNICAS	48	SISTEMAS DE TRATAMENTO DE ÁGUA	36			GENÉTICA II	48	RECICLAGEM E AMBIENTE	48					TRABALHO DE CONCLUSÃO DE CURSO DE PLANEJAMENTO TERRITORIAL I	24			MICROECONOMIA I	48	DEMOGRAFIA	48			ECONOMIA POLÍTICA INTERNACIONAL	48	DESENVOLVIMENTO ECONÔMICO E SOCIAL NO BRASIL	48			DIREITO CONSTITUCIONAL	48	GOVERNANÇA PÚBLICA, DEMOCRACIA E POLÍTICAS NO TERRITÓRIO	48			PLANEJAMENTO E POLÍTICA AMBIENTAL	48	SEGURANÇA DOS TERRITÓRIOS	48		
		ECONOMIA POLITICA INTERNACIONAL DA ENERGIA	48					ARMAZENAMENTO DE ENERGIA ELETRICA	48			FISICA QUANTICA	36	LABORATORIO DE ENGENHARIA DE SOFTWARE	48			ARQUITETURA DE COMPUTADORES	48	PROCESSAMENTO DIGITAL DE IMAGENS	48			FUNCOES DE VARIAS VARIAVEIS	48	MODELOS E PRATICAS COLABORATIVAS EM CT&I	48			CIRCUITOS ELÉTRICOS I	60	INFORMÁTICA INDUSTRIAL	48			CIRCUITOS ELÉTRICOS I	60	INTRODUÇÃO AO PROCESSAMENTO DE SINAIS DE VOZ E ÁUDIO	48			TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES	48	TEORIA DA ELASTICIDADE	48			ECONOMIA DE EMPRESAS	24	ESTRATEGIAS DE COMUNICACAO ORGANIZACIONAL	48			CIÊNCIA DOS MATERIAIS	48	ADITIVAÇÃO DE POLÍMEROS	48			HIDROLOGIA	48	TECNICAS DE ANALISE ESTRUTURAL E PROJETO	36			FUNDAMENTOS DA BIOTECNOLOGIA	24	IMUNOLOGIA APLICADA	48			FUNDAMENTOS DE FISIOPATOLOGIA PARA ENGENHARIAS II	48	TECNICAS DE ANALISE ESTRUTURAL E PROJETO	36			PROCESSAMENTO DA INFORMAÇÃO	48	TERMO-HIDRÁULICA DE REATORES NUCLEARES II	36			NEUROPSICOFARMACOLOGIA	48	DOENÇAS DO SISTEMA NERVOSO	48			ANÁLISE DE FOURIER E APLICAÇÕES	48	ANÁLISE REAL I	48			TEORIA DE GRUPOS	48	ANÁLISE COMPLEXA	48			QUÍMICA ANALÍTICA CLÁSSICA II	72	TRATAMENTO DE ÁGUAS URBANAS SERVIDAS	36			EVOLUÇÃO E DIVERSIDADE DE PLANTAS II	72	POLÍTICAS DE SAÚDE	48					TRABALHO DE CONCLUSÃO DE CURSO DE PLANEJAMENTO TERRITORIAL II	24			ECONOMETRIA I	48	ECONOMIA DO TERRITÓRIO	48			INTEGRAÇÃO REGIONAL TEORIAS E EXPERIÊNCIAS	48	OFICINA DE RELAÇÕES INTERNACIONAIS	48			TEORIA E GESTÃO DE ORGANIZAÇÕES PÚBLICAS	48	ANÁLISE DE DADOS PARA O PLANEJAMENTO TERRITORIAL	48			PLANEJAMENTO E POLÍTICA REGIONAL	48	SUSTENTABILIDADE E INDICADORES	48		
		ESTADO E DESENVOLVIMENTO ECONOMICO NO BRASIL CONTEMPORANEO	48					ARQUITETURA DE COMPUTADORES	48			BIOQUIMICA: ESTRUTURA, PROPRIEDADES E FUNCOES DE BIOMOLECULAS	60	LABORATORIO DE REDES	48			PROJETO DIRIGIDO	24	PROGRAMAÇÃO PARA WEB	48			COMUNICACAO E REDES	36	CONFLITOS NO CIBERESPACO: ATIVISMO E GUERRA NAS REDES CIBERNETICAS	48			SISTEMAS DE CONTROLE I	60	PROJETO DE FILTROS DIGITAIS	48			TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES	48	PROJETO DE ALTA FREQUÊNCIA	48			MECÂNICA DOS SÓLIDOS I	48	APLICAÇÕES DE ELEMENTOS FINITOS PARA ENGENHARIA	48			ENGENHARIA ECONOMICA APLICADA A SISTEMAS DE GESTAO	48	GESTAO ESTRATEGICA E ORGANIZACIONAL	24			TERMODINÂMICA ESTATÍSTICA DE MATERIAIS	48	BLENDAS POLIMÉRICAS	48			HIDRAULICA DE CONDUTOS FORCADOS	36	CARACTERIZACAO DE BIOMATERIAIS	60			TECNOLOGIA DE FERMENTACOES	48	INOVACAO E DESENVOLVIMENTO AGROINDUSTRIAL	48			CIRCUITOS ELETRICOS I	60	CARACTERIZACAO DE BIOMATERIAIS	60			FUNÇÕES DE VÁRIAS VARIÁVEIS	48	SEGURANÇA DE INSTALAÇÕES NUCLEARES	36			INTRODUÇÃO À FILOSOFIA DA MENTE	24	BASES NEURAIS DA MOTRICIDADE	48			PROJETO DIRIGIDO	24	TOPOLOGIA	48			ANÁLISE NO RN I	48	ANÁLISE DE REGRESSÃO	48			PROJETO DIRIGIDO	24	COMUNICAÇÃO CIENTÍFICA	24			PROJETO DIRIGIDO	24	MEIO AMBIENTE E POLÍTICAS PÚBLICAS	48					CONTABILIDADE BÁSICA	48			PRÁTICAS EM CIÊNCIAS E HUMANIDADES	36	ECONOMIA URBANA	48			ORGANIZAÇÕES INTERNACIONAIS E MULTILATERALISMO	48	MUDANÇA TECNOLÓGICA E DINÂMICA CAPITALISTA NA ECONOMIA CONTEMPORÂNEA	48			MÉTODOS DE PLANEJAMENTO	48	PLANEJAMENTO E POLÍTICA AMBIENTAL	48			MÉTODOS DE PLANEJAMENTO	48	TERRITÓRIO E LOGÍSTICA	48		
